N° de Bien | Descripcion
156092 | GRAPADORA ACE CLIPPER, CROMADA.
151543-A | MOUSE COLOR GRIS CON NEGRO
116948 | BANDEJA ACRILICA, COLOR NEGRO.
52310-1 | PORTA PAPEL
BU-129 | PORTA CELOVEN, ACRILICO, COLOR VERDE.
BU-130 | PORTA SOBRE METALICO
BU-183 | MOUSE NEGRO OPTICO STANDARS USB
BU-131 | PORTA LAPIZ, METALICO.
BU-132 | PORTA CLIPS, METALICO.
BU-133 | PERFORADORA PEQUE�A,COLOR NEGRO.
BU-134 | GRAPADORA PEQUE�A, COLOR NEGRO.
151520-5B | TECLADO GIGABYTE
BU-135 | GRAPADORA, RAPID CLASSIC, CROMADA.
BU-237 | PENDRIVE ROJO CON NEGRO
52303-4 | PORTA CLIPS, ACRILICO.
BU-184 | ENGRAPADORA CROMADA
BU-187 | LAMPARA DE MESA COLOR NEGRO
52310-4 | PORTA TACOS
BU-136 | PORTA CELOVEN, ACRILICO, COLOR NARANJA.
BU-185 | PORTA CLIP TAPA ROJA
BU-137 | PORTA LAPICES, CUADRADO DE PLASTICO.
BU-138 | PORTA CLIPS, CUADRADO, TRANSPARENTE TAPA AZUL.
BU-139 | SELLO DE LA DIRECCI�N DE PERSONAL, PLASTICO, COLOR NEGRO CON BLANCO.
BU-238 | MOUSE COLOR NEGRO
BU-140 | SELLO RECTANGULAR, RECIBIDO DE DIRECCION DE PERSONAL.
BU-198 | PORTA LAPICES NEGRO
BU-141 | SELLO DE CERTIFICACI�N, RECTANGULAR GRANDE.
BU-142 | PORTA CLIPS, REDONDO METALIZADO.
162719-1 | TECLADO, MODELO: DLK-3100, COLOR: NEGRO. 
162719-2 | MOUSE, COLOR: NEGRO. 
109032 | MOUSE, COLOR: NEGRO CON GRIS, SERIAL N� X65074004734.
BU-143 | TECLADO, MODELO N� K639 
52294-4 | PORTA LAPIZ TRIANGULAR, 
52305-3 | PORTA LAPIZ RECTANGULAR.
BU-144 | SACA GRAPAS AZUL	
162719-3 | CORNETAS AITEG MODEL Q1
BU-276 | ENGRAPADORA COLOR NEGRO
BU-186 | PERFORADORA NEGRA CON GRIS
BU-188 | ENGRAPADORA
BU-189 | PERFORADORA
BU-190 | TECLADO COLOR NEGRO
BU-191 | TECLADO COLOR NEGRO
BU-192 | MOUSE
BU-193 | PAPELERA PLASTICA COLOR NEGRO
BU-196 | MOUSE MICROSOFT TIPO BASICO OPTICO V.2.0
BU-197 | TECLADO
BU-236 | ENGRAPADORA COLOR NEGRO	
BU-199 | ENGRAPADORA
BU-235 | CORNETAS NEGRO CON GRIS
BU-52299-5 | PORTA TACOS
BU-145 | MOUSE OPTICO TECNOPART USB MODEL: TEP-800 COLOR NEGRO	
BU-200 | PORTA LAPIZ
116934-2 | CORNETAS
BU-239 | TECLADO COLOR NEGRO
BU-277 | MOUSE	
BU-146 | GRAPADORA METALICA STAPLER, COLOR: NEGRO. 
BU-147 | PORTA CLIPS, TAPA COLOR NEGRO.
PGEB-BM-310 | COMPUTADOR PORTATIL, MARCA VIT MODELO VIT P2402-02 A000767590	
PGEB-BM-312 | COMPUTADOR PORTATIL, MARCA VIT MODELO VIT P2402-02 A000767466
PGEB-BM-311 | COMPUTADOR PORTATIL, MARCA VIT MODELO VIT P2402-02 A000767607
BU-148 | PORTA CELOVEN.
BU-149 | PORTA CLIPS PLASTICO.
BU-150 | PORTA LIPIZ
BU-151 | GRAPADORA ACE CLIPPER
BU-152 | PERFORADORA
52310-3 | PORTA CLIPS
BU-153 | BANDEJA
BU-154 | PORTA SOBRE ACRILICO
BU-155 | BANDEJA PLASTICA TRANSPARENTE. 
BU-156 | CORNETAS
BU-157 | PORTA CLIPS, COLOR AZUL CON NEGRO.
BU-158 | PORTA LAPIZ TRANSPARENTE.
BU-159 | GRAPADORA 
BU-160 | PERFORADORA, MARCA OFICA, COLOR AZUL.
161493-0 | MOUSE MARCA GENIUS COLOR NEGRO
BU-234 | TECLADO COLOR NEGRO
52298-1 | PORTA PAPEL
BU-275 | BANDEJA ACRILICA
BU-201 | PORTA LAPIZ
BU-202 | PORTA CELOVEN
BU-203 | ENGRAPADORA
BU-204 | MOUSE
BU-278 | DESTORNILLADOR	
BU-205 | PERFORADORA
BU-52294-1 | BANDEJA
BU-109261 | CORNETAS
BU-206 | PORTA SOBRES
BU-207 | ENGRAPADORA
BU-208 | BANDEJA DE METAL
BU-209 | PAPELERA METALICA
BU-210 | BRAZO HIDRAULICO
BU-211 | BANDEJA ACRILICA
BU-165 | PORTA CELOVEN
BU-212 | PERFORADORA
BU-213 | PERFORADORA
BU-214 | ENGRAPADORA
BU-215 | PORTA CELOVEN
BU-216 | PORTA LAPIZ
BU-217 | PORTA CLIPS
BU-148102 | ENGRAPADORA
BU-52304-2 | PORTA CLIPS
BU-218 | PORTA CELOVEN
BU-219 | MOUSE COLOR NEGRO
BU-220 | TECLADO COLOR NEGRO
BU-66505 | TECLADO COLOR BLANCO
BU-227 | TECLADO COLOR NEGRO	
BU-221 | MOUSE COLOR NEGRO	
BU-232 | ENGRAPADORA COLOR AZUL	
BU-228 | TECLADO COLOR NEGRO	
BU-231 | ENGRAPADORA COLOR AZUL	
BU-230 | ENGRAPADORA COLOR AZUL	
BU-224 | PENDRIVE ROJO Y NEGRO 4GB
BU-229 | TECLADO COLOR NEGRO	
BU-223 | MOUSE COLOR NEGRO	
BU-226 | PENDRIVE ROJO Y NEGRO 4GB
BU-222 | MOUSE COLOR NEGRO	
BU-225 | PENDRIVE ROJO Y NEGRO 4GB
BU-233 | SWICHT TP-LINK DE 5 PUERTOS
BU-274 | TECLADO COLOR NEGRO
PGEB-BM-1086 | BOMBA CENTRIFUGADORA 2090369 1'X1' 3/4 HP 110V	
PGEB-BM-333 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
30802 | CUADRO DE LITOGRAFIA DEBIDAMENTE ENMARCADA, MUSEO ARTE CONTEMP. DE CARACAS 1990, ANGEL HURTADO, MOD.: S/N, SER: S/N	
112336 | PUERTA DE VIDRIO CON MARCO DE ALUMINIO, CERRADURA, MANILLAS Y PAPEL AHUMADO
156065 | PROTECTOR DE AIRE ACONDICIONADO
PGEB-BM-1082 | REGULADOR DE VOLTAJE 1000 VA, MARCA CDP (CHICAGO DIGITAL POWER)	
PGEB-BM-854 | PIZARRA ACRILICA (80 CM ALTO X 1,20 MT LARGO) ENMARCADA EN ALUMINIO
PGEB-BM-1076 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
96086 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-859 | PIZARRA ACRILICA MARCO DE METAL (1,20 CM LARGO X 0,80 CM DE ANCHO) COLOR BLANCO.
PGEB-BM-246 | MUEBLE AERIOS TIPO FLIPER CON PUERTA  Y CERRADURA (90X89X33) CTMS COLOR GRIS	
PGEB-BM-381 | ARCHIVO EN FORMICA PALO DE ROSA, 3 GAVETAS, CON CERRADURA., MOD.: S/N, SER: S/N
PGEB-BM-30 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA	
PGEB-BM-245 | MUEBLE AERIOS TIPO FLIPER CON PUERTA  Y CERRADURA (90X89X33) CTMS COLOR GRIS	
PGEB-BM-396 | ARCHIVO EN FORMICA PALO DE ROSA, BRAZAN ZUI, 2 GAVETAS, CON CERRADURA., MOD.: S/N, SER: S/N	
PGEB-BM-223 | TELEFONO CELULAR MARCA: HUAXWEI G 5760, IMEI 862796000383232
PGEB-BM-192 | BIBLIOTECA YUMAR ML60 1I6
PGEB-BM-193 | BIBLIOTECA YUMAR ML60 1I6
PGEB-BM-233 | BIBLIOTECA MODELO CANAIMA
PGEB-BM-242 | BIBLIOTECA PEQUENA TIPO ARCHIVO COLOR GRIS	
PGEB-BM-338 | BIBLIOTECA TELEFONERA CON TRES GAVETAS LATERALES Y PUERTAS CORREDIZAS, MOD.: S/N, SER: S/N
PGEB-BM-368 | BIBLIOTECA EN FORMICA DE SEIS (6) TRAMOS, PALO DE ROSA DE 2,0 X 0,90 X 0,30
PGEB-BM-974 | MODULO FORMICA 4 GAVETAS+ BIBLIOTECA (2M ALT.* 0,94 ANCHO * 0,47M PROF) COLOR PALO DE ROSA
PGEB-BM-441 | TELEFONERA EN FORMICA PALO DE ROSA DE 1,0 MTS 2 PUERTAS CORREDIZAS, MOD.: S/N, SER: S/N CON CERRADURA
PGEB-BM-500 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-118 | ESCRITORIO EJECUTIVO DE 1,30 X 0,60 C/ALA DE 0,90 DE TRES (03) GAVETAS
PGEB-BM-119 | ESCRITORIO EJECUTIVO DE 1,30 X 0,60 C/ALA DE 0,90 DE TRES (03) GAVETAS
PGEB-BM-120 | ESCRITORIO EJECUTIVO DE 1,30 X 0,60 C/ ALA DE 0,90 DE TRES (03) GAVETAS	
PGEB-BM-122 | ESCRITORIO EJECUTIVO DE 1,40 X 0,60 C/ALA DE 1,20 X 0,50 DE TRES GAVETAS
PGEB-BM-339 | ESCRITORIO EJECUTIVO EN FORMICA PALO DE ROSA SEIS (6) GAVETAS LATERALES, Y UNA CENTRAL (REC), MOD.: S/N, SER: S/N	
PGEB-BM-885 | ESCRITORIO EJECUTIVO 5 GAVETAS BASE DE METAL COLOR NEGRO Y FORMICA NEGRO Y MARRON   75 CM ALTO X  1,60 MT ANCHO X 76CM PROF.)
PGEB-BM-437 | SILLA SEMI EJECUTIVA, EN SEMI CUERO MARRON CON BRAZOS, GIRATORIA, MOD.: S/N, SER.: S/N	
PGEB-BM-531 | CODIGO CIVIL VENEZOLANO. COMENTADO Y CONCORDADO. AUTOR: ARQUIMEDES E. GONZALEZ F. TOMO I.
PGEB-BM-537 | CODIGO CIVIL VENEZOLANO TOMO II, AUTOR: EMILIO CALVO B.
21990 | ESCRITORIO EN FORMICA PALO DE ROSA, 2 GAVETAS CON CERRADURA DE 1 ,20 X 0,73 X 0,70, MOD.: S/N, SER.: S/N
112313-3 | UNIDAD DE CD-ROOM 56X BENQ BLACK
112313-1 | MB-BIOSTAR P4 M80-M7 A/V/R 3PCI LGA-7
112313-5 | DIMM MEMORIA 256MB, PC 3200/400 DDR
PGEB-BM-977 | FOTOCOPIADORA MARCA CANON MODELO IR-1023N  SERIAL: TJE31266 COLOR GRIS
112313-2 | DISCO DURO 80 GB 7200 RPM IDE HITACHI 1B
112313-4 | UNIDAD DE FLOPPY 3,5" HD BLACK
PGEB-BM-608 | CONTRATOS ADMINISTRATIVOS
PGEB-BM-724 | DERECHO INTERNACIONAL FLUVIAL DE VENEZUELA AUTOR JUAN CARLOS SAINZ BORGO
JRG-497 | JURISPRUDENCIA RAMIREZ Y GARAY, AUTOR: RAMIREZ Y GARAY
DLA-590 | GUIA PRACTICA LABORAL, AUTOR: LEGIS LEC EDITORES
114057-6 | DIMM 512 MB, DDR 3100/400 64*64
114057-3 | UNIDAD DE FLOPPY 3,5" MD MITSUMI 1,44 NEGRA
114057-2 | UNIDAD DE CD-ROOM 56X BENQ NEGRA
114057-1 | HB-FOX CONN P4800 P7 MA LGA 775 A/V/RDDRA
120109-2 | DISCO DURO DE 80 GB SATA WEST
120109-1 | PROCESADOR INTEL 1.6 GHZ PENTIUN DUAL CORE
120109-3 | DIMM 1 GB DDR2 PC533
120109-6 | TARJETA MADRE MSI 945 GZM6
120109-7 | UNIDAD DE ESCRITURA DVD LG 1
120109-5 | UNIDAD DE DISKETTE 3 1/2
112328-2 | DISCO DURO 80 GB 7200 RPM IDE HITACHI 1B
112328-1 | MB-BIOSTAR P4 M80-M7 A/V/R 3PCI LGA-7
112328-3 | UNIDAD DE CD-ROOM 56X BENQ BLACK
112328-5 | DIMM MEMORIA 256MB, PC 3200/400 DDR
112328-4 | UNIDAD DE FLOPPY 3,5" HD BLACK
148125-2 | MEMORIA DIM DDR2 2 GB
148125-4 | DVD RW QUEMADOR SANSUNG (SPEED PLUS)
148125-3 | DISCO DURO 160 GB SANSUNG (WESTER DIGITAL)
148125-1 | TARJETA MADRE BIOSTAR S 775
FCB-1205 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL PIV 3.2 GHZ-S-775/CACHE2GB, TARJETA MADRE FOXCONN SOCKET775, DISCO DURO 80GB MAXTOR SATA,MEMORIA DDR 512 MB BUS 400 MARCA ; ELIXIR, CD ROM-CDRW+DVDROM-DVRW LG NEGRO, FLOPPY 3 1/2 NEGRO, CASE COMBO 4 EN 1 NEGRO.
120111-0 | CASE SONEVIEW P4/AMD 64, PROCESADOR INTEL 1.6 GHZ PENTIUN DUAL CORE,DISCO DURO DE 80 GB SATA WEST,DIMM 1 GB DDR2 PC533,UNIDAD DE DISKETTE 3 1/2,TARJETA MADRE MSI 945 GZM6,UNIDAD DE ESCRITURA DVD LG 1
161418 | MEMORIA RAM  DDR2 800
156051 | UNIDAD COMBO CD/DVD
161414 | TARJETA MADRE ASROCKO
112318 | CPU 226 INTEL PENTIUM IV 2,66 GHZ 533 MHZ LGA-775,MB-BIOSTAR P4 M80-M7 A/V/R 3PCI LGA-7,DISCO DURO 80 GB 7200 RPM IDE HITACHI 1B, UNIDAD DE CD-ROOM 56X BENQ BLACK,UNIDAD DE FLOPPY 3,5" HD BLACK,DIMM MEMORIA 256MB, PC 3200/400 DDR,CASE 6210L-CA SF-2 BLACK SILVER
156074 | DVD SUPER MULTI-DVD RW 22 XLG SATA
PGEB-BM-41 | VEHICULO, CAMIONETA TIPO PICK-UP, DOBLE CABINA, MARCA MAZDA, COLOR BLANCO, CUATRO PUERTAS, PLACA: 59S-EAF, ANO 2006, SERIAL DE CARROCERIA: 9RFJUN84G770105600, SERIAL DEL MOTOR: G6-347619.
PGEB-BM-510 | VEHICULO CLASE CAMIONETA, MODEDLO ECO SPORT 32V4, COLOR ROJO, TIPO SPORT WAGON, PLACA GCE-62N, MOD.: ECO SPORT, SER.: 4A36257
PGEB-BM-786 | DICCIONARIO DE LA LENGUA ESPANOLA, TOMO II, AUTOR: REAL ACADEMIA ESPANOLA H-Z
PGEB-BM-785 | DICCIONARIO DE LA LENGUA ESPANOLA, TOMO I, AUTOR: REAL ACADEMIA ESPANOLA A-G
JGF-00031 | GACETA FORENSE, TERCERA ETAPA. A�O 1.977 (OCTUBRE-DICIEMBRE) N� 98.VOL. II.  AUTOR: CORTE SUPREMA DE JUSTICIA	
JGF-00039 | GACETA FORENSE, TERCERA ETAPA. A�O 1.978 (JULIO-SEPTIEMBRE) N� 101. AUTOR:CORTE SUPREMA DE JUSTICIA	
PGEB-BM-614 | DERECHO AGRARIO, AUTOR: RAMON VICENTE. CASANOVA	
JBM-00387 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA	
CLE-00386-3 | COMPILACION DE LEYES DEL ESTADO BARINAS, A�O 1996. AUTOR: CONSEJO LEGISLATIVO REGIONAL	
JGF-00116 | GACETA FORENSE, TERCERA ETAPA. A�O 1.984 (OCTUBRE-DICIEMBRE) N� 126.VOL.I AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00244 | GACETA FORENSE, TERCERA ETAPA A�O 1989 (OCTUBRE-DICIEMBRE ) N� 146 VOL. IV AUTOR: CORTE SUPREMA DE JUSTICIA
DCI-609-3 | DERECHO ROMANO III POR CHIBLY ABOUHAMAS
DLA-0621 | LOGICA JURIDICA. AUTOR: TARCICIO JANEZ B.
JRG-00497 | JURISPRUDENCIA ENERO 1999. TOMO CL AUTOR: RAMIREZ & GARAY
PGEB-BM-630 | MANUAL DE DERECHOS DE LOS SERVICIOS PUBLICOS. AUTOR JOSE ARAUJO JUAREZ	
PGEB-BM-672 | TRATADO DE DERECHO ARRENDATICIO INMOBILIARIOS. VOLUMEN II AUTOR: GILBERTO GUERRERO 
PGEB-BM-671 | TRATADO DE DERECHO ARRENDATICIO INMOBILIARIOS. VOLUMEN I.  AUTOR: GILBERTO GUERRERO
PGEB-BM-637 | CURSO DE INTRODUCCION AL DERECHO. TOMO I, A�O 2004. AUTOR: LUIS MARIA OLASO, S.J.	
PGEB-BM-1038 | EL DERECHO COMO OBSTACULO AL CAMBIO SOCIAL. AUTOR EDUARDO NOVOA.	
PGEB-BM-1032 | EL ORIGEN DE LA FAMILIA, LA PROPIEDAD PRIVADA Y DEL ESTADO. AUTOR: FRIEDRICH ENGELS
PGEB-BM-1041 | PROBLEMAS DE FILOSOFIA DEL DERECHO Y DEL ESTADO POR: J. M. DELGADO OCANDO
DLA-0617 | COMO INVESTIGAR EN CIENCIAS SOCIALES. AUTOR SUSAN PICK
PGEB-BM-1034 | LECCIONES DEL DERECHO DE FAMILIA POR ISABEL GRISANTI
PGEB-BM-609 | CONTRATOS ADMINISTRATIVOS
FLS-0614 | TECNICAS DE INVESTIGACION SOCIAL. AUTOR: EDUARDO NOVOA, R. SIERRA
PGEB-BM-1037 | DERECHO DE FAMILIA POR LUIS A. RODRIGUEZ
PGEB-BM-1039 | LECCIONES DE DERECHO EN FAMILIA. AUTOR: ISABEL DE LUIGI
PGEB-BM-1042 | ENSAYOS DE FILOSOFIA DEL DERECHO POR: MARIA LUISA TOSTA
PGEB-BM-1040 | CURSO DE LOGICA POR: NANCY GARCIA RIVAS
PGEB-BM-1035 | EL COMCUBINATO POR ARQUIMEDES GONZALEZ
PGEB-BM-1031 | LOGICA JURIDICA. AUTOR: TARSICIO JANEZ B.
PGEB-BM-1036 | VIOLENCIA INTRAFAMILIAR EN EL ORDENAMIENTO JURIDICO VENEZOLANO. AUTOR: REINA ALEJANDRA BAIZ VILLAFRANCA.
PGEB-BM-610 | HACIA UNA NUEVA JUSTICIA ADMINISTRATIVA, AUTOR: EDUARDO GARCIA DE ENTERRIA
GLE-0325 | GUIA INTERPRETATIVA DE LA LEY ORGANICA DE REGIMEN MUNICIPAL, AUTOR: FUNDACOMUN
IFG-003 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-002 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-017 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-030 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-032 | REVISTAS VENEZOLANA DE DERECHO PENAL Y CRIMINOLOGIA
IFG-001-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-005-1 | INFORME DEL FISCAL GENERAL, AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-007-2 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
PGEB-BM-612 | EL AMPARO CONSTITUCIONAL Y LA TUTELA CAUTELAR EN LA JUSTICIA ADMINISTRATIVA, AUTOR: JOSE LUIS CASTILLO MARCANO. IGNACIO CASTRO CORTI�AS.
IFG-004-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-024 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-013 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-018 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-001-2 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-014-2 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-028 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-009-3 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-015 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-014-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-033 | REVISTA DE LA FUNDACION PROCURADURIA GENERAL DE LA REPUBLICA
IFG-023 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-022 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTOR: FISCALIA GENERAL DE LA REPUBLICA
IFG-027 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-007-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-008-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
PGEB-BM-613 | ESTUDIOS DE DERECHO ADMINISTRATIVO POR: HENRIQUE IRIBARREN MONTEVERDE
IFG-034 | MINISTERIO PUBLICO REVISTA N� IX III ETAPA
IFG-011 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-035 | REVISTA DE CONTROL FISCAL
IFG-025 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-029 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
PGEB-BM-605 | TEORIA GENERAL DE LA ACTIVIDAD ADMINISTRATIVAS, AUTOR: HILDEGARD RONDON DE SANS�
IFG-020 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-016 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-005-2 | INFORME DEL FISCAL GENERAL, AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-006-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-009-2 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-026 | LEY ORGANICA SOBRE SUSTANCIAS ESTUPEFACIENTES Y PSICOTROPICAS
IFG-019 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-012 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-009-1 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-021 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTOR: FISCALIA GENERAL DE LA REPUBLICA
IFG-004-2 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
DAD-569 | TEORIA DE LAS NULIDADES EN EL DERECHO ADMINISTRATIVO
IFG-008-3 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-008-2 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
IFG-010 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
PGEB-BM-586 | EL DERECHO ADMINISTRATIVO Y LA LEY ORGANICA DE PROCEDIMIENTOS ADMINISTRATIVO. AUTOR: ALLAN R. BREWER-CAR�AS.
PGEB-BM-611 | EL PROCESO DE AMPARO, AUTOR: GUSTAVO JOSE LINARES BENZO
IFG-031 | INFORME DEL FISCAL GENERAL (MANUAL DE INDUCCION), AUTORFISCALIA GENERAL DE LA REPUBLICA
ILN-00106-2 | INSTRUCCIONES Y FORMULARIOS DE LA LEY DE VAGOS DE MALEANTES, AUTOR: PROCURADURIA MIRANDA
ILN-00106-1 | INSTRUCCIONES Y FORMULARIOS DE LA LEY DE VAGOS DE MALEANTES, AUTORPROCURADURIA MIRANDA
IN-L-00235 | INDICES DE LEYES Y DECRETOS DEL ESTADO SUCRE
IN-L-000286 | INDICE DE LEYES VIGENTES, AUTOR: CONGRESO NACIONAL
PGEB-BM-585 | LA DESCENTRALIZACION EN VENEZUELA, AUTOR: CEDIEG - EDILUZ
PGEB-BM-564 | EL PROBLEMA POLITICO DE LA ADMINISTRACION PUBLICA, AUTOR: RAMON V. MELINKOFF
PGEB-BM-566 | PRINCIPIOS DE PROCEDIMIENTOS ADMINISTRATIVOS, AUTOR: ALLAN R. BREWER-CARIAS.
PGEB-BM-569 | CURSO DE DERECHO ADMINISTRATIVO, AUTOR: EDUARDO GARCIA DE ENTERRIA  Y TOMAS RAMON FERNANDEZ
PGEB-BM-559 | EL CONTRATO DE OBRAS PUBLICAS Y LAS INDEMIZACIONES A QUE DA LUGAR SU INCUMPLIMIENTO, AUTOR: NICOLAS VEGAS ROLANDO.
PGEB-BM-553 | DEFENSA NACIONAL, SEGURIDAD INTERNA Y BIEN COMUN, 
DAD-00274 | I JORNADAS DE LA PROCURADURIA GENERAL DEL ESTADO BARINAS, AUTOR: GOBERNACION EDO ARAGUA
DAD-00445 | III JORNADAS INTERNACIONALES DE DERECHO ADMINISTRATIVO. LOS EFECTOS Y LA EJECUCION DE LOS ACTOS ADMINISTRATIVOS, AUTOR: F.U.N.E.D.A.
PGEB-BM-570 | CURSO DE DERECHO ADMINISTRATIVO, AUTOR: EDUARDO GARCIA DE ENTERRIA Y TOMAS RAMON FERNANDEZ
DAD-00324 | LINEAMIENTOS DE DERECHO ADMINISTRATIVOS, AUTOR: JOSE PENA S.
PGEB-BM-551 | TRATADO DE DERECHO ADMINISTRATIVO. VOL. I, AUTOR: ENRRIQUE SAYAGUES LASO
PGEB-BM-576 | LA RESPONSABILIDAD PATRIMONIAL DE LA ADMINISTRACION PUBLICA, AUTOR: LUIS A. ORTIZ
PGEB-BM-568 | FINANZAS PUBLICAS Y DERECHO TRIBUTARIO, AUTOR: DINO JARACH
PGEB-BM-588 | REGIMEN FUNCIONARIAL DE LA LEY DE CARRERA ADMINISTRATIVA, AUTOR: ANTONIO DE PEDRO FERNANDEZ.
PGEB-BM-554 | TEMAS DE HACIENDA PUBLICA, AUTOR: LUIS R. CASADO HIDALGO
DAD-00120 | LOS INSTITUTOS AUTONOMOS, AUTOR: JESUS CABALLERO
PGEB-BM-562 | EL HOLDING PUBLICO, AUTOR: ALLAN R. BREWER-CARIAS. ENRIQUE VILORIA V.
PGEB-BM-552 | TRATADO DE DERECHO ADMINISTRATIVO, AUTOR: ENRRIQUE SAYAGUES LASO
